quad9 9.9.9.9, 149.112.112.112
cloudflare 1.1.1.1, 1.0.0.1
Verisign DNS 64.6.64.6, 64.6.65.6
Google DNS 8.8.8.8, 8.8.4.4
Comodo 8.26.56.10, 8.20.247.10
NextDNS 45.90.28.107, 45.90.30.107
DNSWatch 84.200.69.80, 84.200.70.40
AdGuard DNS 176.103.130.130, 176.103.130.131
Dyn Internet Guide 216.146.35.35, 216.146.36.36252
FDN 80.67.169.12, 80.67.169.40
Freenom World 80.80.80.80, 80.80.81.81
FreeDNS 37.235.1.174, 37.235.1.177
Neustar DNS service 156.154.70.4, 156.154.71.4
SafeDNS 195.46.39.39, 195.46.39.40
SmartViper Public DNS 208.76.50.50, 208.76.51.51
YandexDNS 77.88.8.7, 77.88.8.3
CleanBrowsing 185.228.168.9, 185.228.169.9
CenturyLink 4.2.2.1, 4.2.2.2, 4.2.2.3, 4.2.2.4
